"year","quarter","cpi_k_q"
1992,4,4.5428925
1993,1,4.67196333333333
1993,2,4.50594966666667
1993,3,5.05770666666667
1993,4,6.32164466666667
1994,1,6.004781
1994,2,6.710532
1994,3,6.11315133333333
1994,4,5.076496
1995,1,4.97665866666667
1995,2,3.73644133333333
1995,3,4.42300266666667
1995,4,4.781712
1996,1,4.61591366666667
1996,2,5.29392733333333
1996,3,4.94710333333333
1996,4,4.82249766666667
1997,1,4.220577
1997,2,3.88933433333333
1997,3,4.27285733333333
1997,4,8.13812666666667
1998,1,8.65185833333333
1998,2,7.24728833333333
1998,3,6.959768
1998,4,1.8658762
1999,1,0.5638291
1999,2,0.596248866666667
1999,3,1.09825963333333
1999,4,1.67211066666667
2000,1,1.55334433333333
2000,2,2.54763166666667
2000,3,2.785932
2000,4,3.281641
2001,1,4.702473
2001,2,4.84632966666667
2001,3,3.32590166666667
2001,4,2.80969666666667
2002,1,2.59743733333333
2002,2,2.35940433333333
2002,3,3.09161533333333
2002,4,3.81018533333333
2003,1,3.816427
2003,2,3.05269166666667
2003,3,3.49294133333333
2003,4,3.36618966666667
2004,1,3.22155566666667
2004,2,4.26021266666667
2004,3,3.64396533333333
2004,4,3.26769966666667
2005,1,3.05293733333333
2005,2,2.43155833333333
2005,3,2.41656533333333
2005,4,2.28600766666667
2006,1,2.10145666666667
2006,2,2.50083733333333
2006,3,2.25464433333333
2006,4,1.98067766666667
2007,1,2.31922366666667
2007,2,2.37547633333333
2007,3,2.95291233333333
2007,4,3.69090333333333
2008,1,4.30974266666667
2008,2,5.687229
2008,3,4.81871966666667
2008,4,3.996425
2009,1,3.39945633333333
2009,2,1.924785
2009,3,2.19397933333333
2009,4,3.10126933333333
2010,1,2.58612
2010,2,2.63347833333333
2010,3,3.35941
2010,4,3.47108333333333
2011,1,3.95378466666667
2011,2,4.470647
2011,3,3.83194933333333
2011,4,3.51245833333333
2012,1,2.58445533333333
2012,2,1.64659733333333
2012,3,1.93668633333333
2012,4,1.54622633333333
2013,1,1.313037
2013,2,1.42959366666667
2013,3,1.01408856666667
2013,4,1.07871233333333
2014,1,1.485334
2014,2,1.55214666666667
2014,3,1.0873824
2014,4,0.8176537
