"year","quarter","kj_q","kp_q","kc_q"
1992,4,0.622222222222222,1.9,0.566666666666667
1993,1,4.23333333333333,1.70510869565217,4.48888888888889
1993,2,-1.02666666666667,2.55,1.44166666666667
1993,3,1.14583333333333,0.895833333333333,1.87
1993,4,1.66666666666667,2.65925925925926,2.25
1994,1,1.71547619047619,1.11615079365079,2.48771929824561
1994,2,1.28333333333333,2.03782051282051,0.3
1994,3,-3.625,2.69774114774115,2.48
1994,4,1.45,1.29333333333333,4.82
1995,1,0.763418803418803,2.10619528619529,4.91555555555556
1995,2,2.725,1.62916666666667,2.88333333333333
1995,3,-0.03125,1.22777777777778,4
1995,4,2.11222222222222,1.21814814814815,1.38888888888889
1996,1,3.21111111111111,1.39690476190476,2.46666666666667
1996,2,-3.05555555555556,1.85134032634033,-0.262698412698413
1996,3,0.409523809523809,-0.683164983164983,0.86
1996,4,-0.33015873015873,0.18562091503268,0.764666666666667
1997,1,-2.04444444444444,2.82436162870945,1.72578347578348
1997,2,0.105555555555556,2.63333333333333,2.5452380952381
1997,3,2.85277777777778,1.41681096681097,-0.853333333333333
1997,4,-0.253514328808446,2.33686868686869,2.53666666666667
1998,1,0.0533333333333333,3.01752645502645,1.38677248677249
1998,2,1.4047619047619,0.331960784313726,4.1665404040404
1998,3,0.952836052836053,1.21922558922559,2.07638888888889
1998,4,1.20550108932462,1.37352272727273,-1.53428571428571
1999,1,0.971111111111111,1.83835005574136,1.48787878787879
1999,2,0.681710022181891,0.723869047619048,3.21752136752137
1999,3,-0.568055555555556,3.0975,2.61058201058201
1999,4,1.05722222222222,2.05180375180375,2.33305555555556
2000,1,1.17154882154882,2.63058031293325,2.53701058201058
2000,2,3.55555555555556,2.58297334849059,2.19626844890003
2000,3,1.25791245791246,2.80188106467176,2.38240740740741
2000,4,-0.367307692307692,2.80454545454545,3.34423076923077
2001,1,-0.190197483675745,1.82444444444444,2.82962962962963
2001,2,-1.11951944712311,1.11467727674624,-1.06282372598162
2001,3,0.304224270353303,2.19647323436797,4.12759259259259
2001,4,-1.05185185185185,2.93989417989418,3.11111111111111
2002,1,0.430476190476191,2.52066666666667,1.93507625272331
2002,2,1.14888888888889,0.384187535861699,0.761287878787879
2002,3,1.72095238095238,1.27642140468227,-1.48604166666667
2002,4,-0.804232804232804,1.18667683873163,1.34861111111111
2003,1,0.291812865497076,0.867520442520442,0.501851851851852
2003,2,0.191784188034188,1.3970785440613,1.54071895424837
2003,3,2.12460317460317,0.589204545454545,0.831587301587302
2003,4,0.863852813852814,2.37487373737374,1.58822990734755
2004,1,1.40857753357753,2.28452252252252,1.11460317460317
2004,2,0.995767195767196,2.22524931104899,0.0178228228228228
2004,3,0.4825,1.21746031746032,0.228095238095238
2004,4,-0.156888888888889,1.285289461782,0.0203205128205129
2005,1,-1.01060761465691,1.6209957007581,-0.599621212121212
2005,2,0.777905785970302,2.61484013542911,1.89059343434343
2005,3,0.666,1.37999153055051,1.9510101010101
2005,4,-0.493385620915033,1.39330076081068,1.65251322751323
2006,1,-0.175317741554453,0.686833448355188,-0.293167701863354
2006,2,0.790037929495761,0.890471333501907,2.79286324786325
2006,3,2.02907925407925,-0.179176620480968,2.1196389291271
2006,4,-0.305679769203029,1.76124638091085,1.64050442311312
2007,1,0.576590390002155,1.66799526490108,0.880967000835422
2007,2,-0.721121593291405,2.80604067618796,-0.229388271965712
2007,3,-1.17816091954023,2.06559028390666,0.125447217024848
2007,4,-0.837612612612613,1.06930075477141,1.4990297990298
2008,1,-1.66379892037787,0.995456551170837,0.997684569277029
2008,2,-2.3445911154324,1.04460159783699,1.65697080291971
2008,3,-0.724404804546649,0.561292599314378,2.31635368850559
2008,4,1.42591431556949,1.48216458858493,-1.13638330204702
2009,1,-0.754335799859056,-1.60034613642131,1.28343015575024
2009,2,1.24655032467532,-0.147871774004395,1.0756981580511
2009,3,-1.08919540229885,0.69434476210387,2.76611927398444
2009,4,1.59057012125372,1.81462169950442,2.95648363611621
2010,1,-0.509337822671156,0.270951692374439,0.791153141330307
2010,2,1.73876050420168,-1.16731635262007,1.49722630385488
2010,3,-0.877841538306655,-0.15487904167264,2.46092756771176
2010,4,2.15194197337054,0.917203273116527,1.10611198393995
2011,1,1.00446287565722,-0.196507012758965,2.37170997400967
2011,2,0.254900862106475,-0.126503768403746,1.37721468082893
2011,3,0.994673199207756,0.613873115480817,0.580388888888889
2011,4,0.035728468602631,2.13201988743362,2.48623743030665
2012,1,0.971014352523787,-0.998695228619989,1.58597710028496
2012,2,-0.741408034653829,-0.888026472461441,2.59376389692179
2012,3,-1.32300705251501,1.80603091607013,1.46079686820357
2012,4,0.374697613599215,-1.01524785565421,1.92378068956389
2013,1,-2.40061521472072,-0.406388742739008,2.3321167791948
2013,2,0.7938633346065,1.1663003165083,2.52590536239838
2013,3,-1.85004076158268,1.33653624856157,0.520965870528926
2013,4,0.11554759960639,0.390529408422557,1.74489686102018
2014,1,0.217236310564487,-0.27045923727981,2.92593506300334
2014,2,-0.272423500939228,0.393050193050193,3.12149358749649
2014,3,0.52036458266346,0.660690505915225,0.00382842090159167
2014,4,-1.96774193548387,2.56666666666667,1.384
