"year","quarter","president","approval"
1993,"1","Y Kim","71"
1993,"2","Y Kim","83"
1993,"3","Y Kim","83"
1993,"4","Y Kim","59"
1994,"1","Y Kim","55"
1994,"2","Y Kim","55"
1994,"3","Y Kim","44"
1994,"4","Y Kim","36"
1995,"1","Y Kim","37"
1995,"2","Y Kim","28"
1995,"3","Y Kim","29"
1995,"4","Y Kim","32"
1996,"1","Y Kim","41"
1996,"2","Y Kim","41"
1996,"3","Y Kim","34"
1996,"4","Y Kim","28"
1997,"1","Y Kim","14"
1997,"2","Y Kim","7"
1997,"3","Y Kim","8"
1997,"4","Y Kim","6"
1998,"1","D Kim","71"
1998,"2","D Kim","62"
1998,"3","D Kim","56"
1998,"4","D Kim","63"
1999,"1","D Kim","60"
1999,"2","D Kim","52"
1999,"3","D Kim","46"
1999,"4","D Kim","50"
2000,"1","D Kim","49"
2000,"2","D Kim","38"
2000,"3","D Kim","54"
2000,"4","D Kim","30"
2001,"1","D Kim","27"
2001,"2","D Kim","29"
2001,"3","D Kim","28"
2001,"4","D Kim","31"
2002,"1","D Kim","33"
2002,"2","D Kim","26"
2002,"3","D Kim","28"
2002,"4","D Kim","24"
2003,"1","M Roh","60"
2003,"2","M Roh","40"
2003,"3","M Roh","29"
2003,"4","M Roh","22"
2004,"1","M Roh","25"
2004,"2","M Roh","34"
2004,"3","M Roh","23"
2004,"4","M Roh","27"
2005,"1","M Roh","33"
2005,"2","M Roh","34"
2005,"3","M Roh","28"
2005,"4","M Roh","23"
2006,"1","M Roh","27"
2006,"2","M Roh","20"
2006,"3","M Roh","16"
2006,"4","M Roh","12"
2007,"1","M Roh","16"
2007,"2","M Roh","24"
2007,"3","M Roh","27"
2007,"4","M Roh","27"
2008,"1","M Lee","52"
2008,"2","M Lee","21"
2008,"3","M Lee","24"
2008,"4","M Lee","32"
2009,"1","M Lee","34"
2009,"2","M Lee","27"
2009,"3","M Lee","36"
2009,"4","M Lee","47"
2010,"1","M Lee","44"
2010,"2","M Lee","49"
2010,"3","M Lee","44"
2010,"4","M Lee","47"
2011,"1","M Lee","43"
2011,"2","M Lee","39"
2011,"3","M Lee","37"
2011,"4","M Lee","32"
2012,"1","M Lee","24"
2012,"2","M Lee","25"
2012,"3","M Lee","23"
2012,"4","M Lee","23"
2013,"1","G Park","42"
2013,"2","G Park","51"
2013,"3","G Park","60"
2013,"4","G Park","54"
2014,"1","G Park","55"
2014,"2","G Park","50"
2014,"3","G Park","44"
2014,"4","G Park","44"
2015,"1","G Park","34"
2015,"2","G Park","36"
2015,"3","G Park",NA
2015,"4","G Park",""
2016,"1","G Park",""
2016,"2","G Park",""
2016,"3","G Park",NA
2016,"4","G Park",""
2017,"1","G Park",""
2017,"2","G Park",""
2017,"3","G Park",NA
2017,"4","G Park",""
