"year","quarter","unemp_k_q"
1992,4,2.85
1993,1,2.93333333333333
1993,2,2.96666666666667
1993,3,2.86666666666667
1993,4,2.7
1994,1,2.63333333333333
1994,2,2.4
1994,3,2.33333333333333
1994,4,2.16666666666667
1995,1,2.06666666666667
1995,2,2.03333333333333
1995,3,2.13333333333333
1995,4,1.9
1996,1,2
1996,2,2.06666666666667
1996,3,2.1
1996,4,2.43333333333333
1997,1,2.76666666666667
1997,2,2.4
1997,3,2.6
1997,4,4.06666666666667
1998,1,6.46666666666667
1998,2,7.9
1998,3,8.06666666666667
1998,4,7.63333333333333
1999,1,7
1999,2,6.86666666666667
1999,3,5.46666666666667
1999,4,5.03333333333333
2000,1,4.4
2000,2,4.16666666666667
2000,3,4.23333333333333
2000,4,4.5
2001,1,4.16666666666667
2001,2,3.8
2001,3,3.7
2001,4,3.63333333333333
2002,1,3.36666666666667
2002,2,3.16666666666667
2002,3,3.06666666666667
2002,4,3.26666666666667
2003,1,3.46666666666667
2003,2,3.6
2003,3,3.73333333333333
2003,4,3.63333333333333
2004,1,3.63333333333333
2004,2,3.63333333333333
2004,3,3.66666666666667
2004,4,3.8
2005,1,3.7
2005,2,3.7
2005,3,3.76666666666667
2005,4,3.53333333333333
2006,1,3.5
2006,2,3.5
2006,3,3.53333333333333
2006,4,3.33333333333333
2007,1,3.26666666666667
2007,2,3.23333333333333
2007,3,3.23333333333333
2007,4,3.06666666666667
2008,1,3.1
2008,2,3.13333333333333
2008,3,3.26666666666667
2008,4,3.4
2009,1,3.7
2009,2,3.83333333333333
2009,3,3.6
2009,4,4.13333333333333
2010,1,3.5
2010,2,3.56666666666667
2010,3,3.53333333333333
2010,4,3.66666666666667
2011,1,3.53333333333333
2011,2,3.26666666666667
2011,3,3.23333333333333
2011,4,3.3
2012,1,3.26666666666667
2012,2,3.13333333333333
2012,3,3.13333333333333
2012,4,3.16666666666667
2013,1,3.06666666666667
2013,2,3.13333333333333
2013,3,3.03333333333333
2013,4,3.36666666666667
2014,1,3.53333333333333
2014,2,3.43333333333333
2014,3,3.5
2014,4,3.63333333333333
2015,1,3.63333333333333
2015,2,3.8
